date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:51	1035/1035	------	200	untouched ('OK')	text/plain	date:Fri,%2001%20Jul%202016%2000:16:06%20GMT	https://www.twelvershia.net/robots.txt		(from )
17:31:51	143065/143065	------	200	untouched ('OK')	text/html	date:Mon,%2011%20Aug%202025%2012:13:38%20GMT	https://www.twelvershia.net/	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/index.html	(from )
17:31:51	82956/82956	------	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Aug%202025%2012:14:14%20GMT	https://www.twelvershia.net/wp-content/uploads/2017/02/twelvershia.net_telegram-150x150.png	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/uploads/2017/02/twelvershia.net_telegram-150x150.30.delayed	(from https://www.twelvershia.net/)
17:31:51	254232/254232	------	200	untouched ('')	application/rss+xml	etag:W/%22ee18b810b98c8753bd88b65822109f3c%22	https://www.twelvershia.net/feed/	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/feed/index.html	(from https://www.twelvershia.net/)
17:31:51	9670/9670	------	200	untouched ('')	application/rss+xml	etag:W/%22ee18b810b98c8753bd88b65822109f3c%22	https://www.twelvershia.net/comments/feed/	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/comments/feed/index.html	(from https://www.twelvershia.net/)
17:31:51	114706/114706	------	200	untouched ('OK')	text/css	date:Mon,%2027%20Jan%202025%2018:20:10%20GMT	https://www.twelvershia.net/wp-includes/css/dist/block-library/style.min.css?ver=4890e0524a32451c67c063ee8e5c44f9	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-includes/css/dist/block-library/style.minc628.css	(from https://www.twelvershia.net/)
17:31:51	1746/1746	------	200	untouched ('OK')	text/css	date:Sat,%2002%20May%202020%2011:14:17%20GMT	https://www.twelvershia.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.7	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/contact-form-7/includes/css/styles6725.css	(from https://www.twelvershia.net/)
17:31:51	736/736	------	200	untouched ('OK')	text/css	date:Sun,%2024%20Mar%202019%2001:31:05%20GMT	https://www.twelvershia.net/wp-content/plugins/email-subscribers/public/css/email-subscribers-public.css	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/email-subscribers/public/css/email-subscribers-public.css	(from https://www.twelvershia.net/)
17:31:51	14212/14212	------	200	untouched ('OK')	text/css	date:Sun,%2024%20Mar%202019%2001:31:11%20GMT	https://www.twelvershia.net/wp-content/plugins/simple-download-monitor/css/sdm_wp_styles.css?ver=4890e0524a32451c67c063ee8e5c44f9	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/simple-download-monitor/css/sdm_wp_stylesc628.css	(from https://www.twelvershia.net/)
17:31:51	86090/86090	------	200	untouched ('OK')	text/css	date:Sun,%2028%20May%202017%2011:28:14%20GMT	https://www.twelvershia.net/wp-content/themes/mh-magazine/style.css?ver=3.6.1	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/themes/mh-magazine/stylea7a0.css	(from https://www.twelvershia.net/)
17:31:51	29063/29063	------	200	untouched ('OK')	text/css	date:Wed,%2025%20Jan%202017%2019:00:45%20GMT	https://www.twelvershia.net/wp-content/themes/mh-magazine/includes/font-awesome.min.css	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/themes/mh-magazine/includes/font-awesome.min.css	(from https://www.twelvershia.net/)
17:31:51	5871/5871	------	200	untouched ('OK')	text/css	date:Tue,%2026%20Mar%202019%2014:32:41%20GMT	https://www.twelvershia.net/wp-content/plugins/tablepress/css/default.min.css?ver=1.9.2	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/tablepress/css/default.min2c00.css	(from https://www.twelvershia.net/)
17:31:51	1463/1463	------	200	untouched ('OK')	text/css	date:Sat,%2002%20May%202020%2011:14:15%20GMT	https://www.twelvershia.net/wp-content/plugins/add-to-any/addtoany.min.css?ver=1.15	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/add-to-any/addtoany.min9be6.css	(from https://www.twelvershia.net/)
17:31:51	87553/87553	------	200	untouched ('')	text/javascript	date:Mon,%2027%20Jan%202025%2018:20:10%20GMT	https://www.twelvershia.net/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.twelvershia.net/)
17:31:51	13577/13577	------	200	untouched ('')	text/javascript	date:Mon,%2027%20Jan%202025%2018:20:10%20GMT	https://www.twelvershia.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.twelvershia.net/)
17:31:51	129/129	------	200	untouched ('')	text/javascript	date:Sat,%2002%20May%202020%2011:14:15%20GMT	https://www.twelvershia.net/wp-content/plugins/add-to-any/addtoany.min.js?ver=1.1	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/add-to-any/addtoany.min4963.js	(from https://www.twelvershia.net/)
17:31:51	3557/3557	------	200	untouched ('')	text/javascript	date:Sun,%2024%20Mar%202019%2001:31:05%20GMT	https://www.twelvershia.net/wp-content/plugins/email-subscribers/public/js/email-subscribers-public.js	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/email-subscribers/public/js/email-subscribers-public.js	(from https://www.twelvershia.net/)
17:31:51	3395/3395	------	200	untouched ('')	text/javascript	date:Sun,%2024%20Mar%202019%2001:31:11%20GMT	https://www.twelvershia.net/wp-content/plugins/simple-download-monitor/js/sdm_wp_scripts.js?ver=4890e0524a32451c67c063ee8e5c44f9	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/simple-download-monitor/js/sdm_wp_scriptsc628.js	(from https://www.twelvershia.net/)
17:31:51	38842/38842	------	200	untouched ('')	text/javascript	date:Wed,%2025%20Jan%202017%2019:00:45%20GMT	https://www.twelvershia.net/wp-content/themes/mh-magazine/js/scripts.js?ver=3.6.1	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/themes/mh-magazine/js/scriptsa7a0.js	(from https://www.twelvershia.net/)
17:31:51	195434/195434	------	200	untouched ('')	application/json	etag:W/%223857-1754914443;;;%22	https://www.twelvershia.net/wp-json/	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-json/index.html	(from https://www.twelvershia.net/)
